,world,question,wq_order,u_order,q_order,response,pol,conform,D%,R%,winner
16796,1,1,79,920,16830,0.0,1.0,rebel,0.37142857142857144,0.5116279069767442,republicans
16954,1,1,80,927,17045,1.0,-2.0,rebel,0.37142857142857144,0.5,republicans
17208,1,1,81,938,17299,0.0,1.0,rebel,0.3888888888888889,0.5,republicans
17331,1,1,82,946,17422,1.0,-2.0,rebel,0.3888888888888889,0.4888888888888889,republicans
17554,1,1,83,958,17645,0.0,1.0,rebel,0.40540540540540543,0.4888888888888889,republicans
17718,1,1,84,965,17809,1.0,1.0,conform,0.40540540540540543,0.4782608695652174,republicans
17903,1,1,85,978,17994,0.0,1.0,rebel,0.40540540540540543,0.48936170212765956,republicans
18218,1,1,86,993,18309,1.0,1.0,conform,0.40540540540540543,0.4791666666666667,republicans
18348,1,1,87,999,18439,0.0,1.0,rebel,0.40540540540540543,0.4897959183673469,republicans
18491,1,1,88,1007,18582,0.0,2.0,rebel,0.40540540540540543,0.48,republicans
18767,1,1,89,1024,18859,0.0,2.0,rebel,0.40540540540540543,0.47058823529411764,republicans
18930,1,1,90,1034,19025,1.0,1.0,conform,0.40540540540540543,0.46153846153846156,republicans
19199,1,1,91,1049,19295,0.0,-2.0,conform,0.40540540540540543,0.4716981132075472,republicans
19343,1,1,92,1056,19439,0.0,1.0,rebel,0.39473684210526316,0.4716981132075472,republicans
19669,1,1,93,1073,19765,0.0,1.0,rebel,0.39473684210526316,0.46296296296296297,republicans
19854,1,1,94,1081,19950,0.0,1.0,rebel,0.39473684210526316,0.45454545454545453,republicans
19921,1,1,95,1085,20017,1.0,2.0,conform,0.39473684210526316,0.44642857142857145,republicans
20146,1,1,96,1094,20242,1.0,2.0,conform,0.39473684210526316,0.45614035087719296,republicans
20435,1,1,97,1109,20531,1.0,2.0,conform,0.39473684210526316,0.46551724137931033,republicans
20733,1,1,98,1121,20829,0.0,-2.0,conform,0.39473684210526316,0.4745762711864407,republicans
20973,1,1,99,1132,21069,0.0,2.0,rebel,0.38461538461538464,0.4745762711864407,republicans
21243,1,1,100,1146,21339,1.0,2.0,conform,0.38461538461538464,0.4666666666666667,republicans
21244,1,1,101,1143,21340,1.0,-2.0,rebel,0.38461538461538464,0.47540983606557374,republicans
21507,1,1,102,1159,21603,1.0,-2.0,rebel,0.4,0.47540983606557374,republicans
21696,1,1,103,1173,21792,1.0,1.0,conform,0.4146341463414634,0.47540983606557374,republicans
22067,1,1,104,1183,22231,0.0,1.0,rebel,0.4146341463414634,0.4838709677419355,republicans
22354,1,1,105,1198,22519,0.0,-1.0,conform,0.4146341463414634,0.47619047619047616,republicans
22415,1,1,106,1206,22580,0.0,-1.0,conform,0.40476190476190477,0.47619047619047616,republicans
22715,1,1,107,1225,22880,0.0,-2.0,conform,0.3953488372093023,0.47619047619047616,republicans
22928,1,1,108,1235,23093,1.0,1.0,conform,0.38636363636363635,0.47619047619047616,republicans
23532,1,1,109,1252,23698,1.0,2.0,conform,0.38636363636363635,0.484375,republicans
23587,1,1,110,1276,23753,0.0,-2.0,conform,0.38636363636363635,0.49230769230769234,republicans
23662,1,1,111,1269,23828,1.0,-1.0,rebel,0.37777777777777777,0.49230769230769234,republicans
23955,1,1,112,1288,24121,1.0,-2.0,rebel,0.391304347826087,0.49230769230769234,republicans
24165,1,1,113,1294,24331,0.0,-2.0,conform,0.40425531914893614,0.49230769230769234,republicans
24562,1,1,114,1312,24728,0.0,1.0,rebel,0.3958333333333333,0.49230769230769234,republicans
24770,1,1,115,1328,24936,1.0,2.0,conform,0.3958333333333333,0.48484848484848486,republicans
24943,1,1,116,1318,25109,1.0,2.0,conform,0.3958333333333333,0.4925373134328358,republicans
24948,1,1,117,1327,25114,1.0,-2.0,rebel,0.3958333333333333,0.5,republicans
25477,1,1,118,1363,25643,0.0,-1.0,conform,0.40816326530612246,0.5,republicans
25674,1,1,119,1365,25840,0.0,1.0,rebel,0.4,0.5,republicans
25740,1,1,120,1375,25906,0.0,-1.0,conform,0.4,0.4927536231884058,republicans
25968,1,1,121,1391,26134,1.0,1.0,conform,0.39215686274509803,0.4927536231884058,republicans
26184,1,1,122,1409,26350,1.0,2.0,conform,0.39215686274509803,0.5,republicans
26373,1,1,123,1396,26539,1.0,-2.0,rebel,0.39215686274509803,0.5070422535211268,republicans
26595,1,1,124,1414,26763,1.0,-1.0,rebel,0.40384615384615385,0.5070422535211268,republicans
26636,1,1,125,1427,26804,0.0,-2.0,conform,0.41509433962264153,0.5070422535211268,republicans
26657,1,1,126,1353,26825,1.0,2.0,conform,0.4074074074074074,0.5070422535211268,republicans
27138,1,1,127,1447,27311,1.0,2.0,conform,0.4074074074074074,0.5138888888888888,republicans
27301,1,1,128,1457,27474,1.0,-2.0,rebel,0.4074074074074074,0.5205479452054794,republicans
27723,1,1,129,1465,27910,0.0,-2.0,conform,0.41818181818181815,0.5205479452054794,republicans
28316,1,1,130,1489,28503,1.0,-2.0,rebel,0.4107142857142857,0.5205479452054794,republicans
28655,1,1,131,1513,28844,0.0,-2.0,conform,0.42105263157894735,0.5205479452054794,republicans
28836,1,1,133,1534,29025,1.0,-2.0,rebel,0.41379310344827586,0.5205479452054794,republicans
28923,1,1,134,1554,29112,1.0,-2.0,rebel,0.423728813559322,0.5205479452054794,republicans
29244,1,1,135,1568,29437,0.0,2.0,rebel,0.43333333333333335,0.5205479452054794,republicans
29362,1,1,136,1531,29555,1.0,-1.0,rebel,0.43333333333333335,0.5135135135135135,republicans
29782,1,1,137,1596,29978,0.0,1.0,rebel,0.4426229508196721,0.5135135135135135,republicans
30117,1,1,138,1604,30316,1.0,1.0,conform,0.4426229508196721,0.5066666666666667,republicans
30168,1,1,139,1523,30368,0.0,-1.0,conform,0.4426229508196721,0.5131578947368421,republicans
30287,1,1,140,1620,30488,1.0,2.0,conform,0.43548387096774194,0.5131578947368421,republicans
30306,1,1,141,1582,30507,0.0,-1.0,conform,0.43548387096774194,0.5194805194805194,republicans
30450,1,1,142,1631,30651,0.0,1.0,rebel,0.42857142857142855,0.5194805194805194,republicans
30651,1,1,143,1590,30854,0.0,-1.0,conform,0.42857142857142855,0.5128205128205128,republicans
30805,1,1,144,1641,31008,1.0,1.0,conform,0.421875,0.5128205128205128,republicans
30877,1,1,145,1644,31080,0.0,-2.0,conform,0.421875,0.5189873417721519,republicans
31072,1,1,146,1661,31288,0.0,1.0,rebel,0.4153846153846154,0.5189873417721519,republicans
31354,1,1,147,1667,31574,0.0,1.0,rebel,0.4153846153846154,0.5125,republicans
31550,1,1,148,1682,31780,0.0,-2.0,conform,0.4153846153846154,0.5061728395061729,republicans
31691,1,1,149,1687,31942,0.0,2.0,rebel,0.4090909090909091,0.5061728395061729,republicans
31894,1,1,150,1699,32167,0.0,-2.0,conform,0.4090909090909091,0.5,republicans
32078,1,1,151,1709,32351,0.0,2.0,rebel,0.40298507462686567,0.5,republicans
32287,1,1,152,1720,32611,1.0,1.0,conform,0.40298507462686567,0.4939759036144578,republicans
32474,1,1,153,1729,32798,0.0,-1.0,conform,0.40298507462686567,0.5,republicans
32593,1,1,154,1739,32917,1.0,-2.0,rebel,0.39705882352941174,0.5,republicans
32722,1,1,155,1746,33055,1.0,1.0,conform,0.4057971014492754,0.5,republicans
32935,1,1,156,1763,33288,1.0,-2.0,rebel,0.4057971014492754,0.5058823529411764,republicans
33198,1,1,157,1771,33551,1.0,-2.0,rebel,0.4142857142857143,0.5058823529411764,republicans
33213,1,1,158,1776,33566,1.0,1.0,conform,0.4225352112676056,0.5058823529411764,republicans
33522,1,1,159,1841,33879,1.0,1.0,conform,0.4225352112676056,0.5116279069767442,republicans
33587,1,1,160,1852,33946,0.0,-2.0,conform,0.4225352112676056,0.5172413793103449,republicans
33749,1,1,161,1876,34110,1.0,1.0,conform,0.4166666666666667,0.5172413793103449,republicans
33827,1,1,162,1892,34188,1.0,1.0,conform,0.4166666666666667,0.5227272727272727,republicans
34027,1,1,163,1904,34390,1.0,2.0,conform,0.4166666666666667,0.5280898876404494,republicans
34501,1,1,164,1932,34865,0.0,-2.0,conform,0.4166666666666667,0.5333333333333333,republicans
34690,1,1,165,1941,35054,1.0,-2.0,rebel,0.410958904109589,0.5333333333333333,republicans
34715,1,1,166,1947,35079,1.0,-2.0,rebel,0.4189189189189189,0.5333333333333333,republicans
34919,1,1,167,1962,35283,0.0,-2.0,conform,0.4266666666666667,0.5333333333333333,republicans
35376,1,1,168,1989,35740,0.0,-2.0,conform,0.42105263157894735,0.5333333333333333,republicans
35402,1,1,169,1990,35766,0.0,1.0,rebel,0.4155844155844156,0.5333333333333333,republicans
35793,1,1,170,2023,36159,0.0,2.0,rebel,0.4155844155844156,0.5274725274725275,republicans
35910,1,1,171,2027,36276,0.0,-2.0,conform,0.4155844155844156,0.5217391304347826,republicans
36228,1,1,172,2058,36596,0.0,-1.0,conform,0.41025641025641024,0.5217391304347826,republicans
36305,1,1,173,2065,36677,1.0,-2.0,rebel,0.4050632911392405,0.5217391304347826,republicans
36515,1,1,174,2076,36887,0.0,-1.0,conform,0.4125,0.5217391304347826,republicans
36845,1,1,175,2099,37218,1.0,2.0,conform,0.4074074074074074,0.5217391304347826,republicans
37401,1,1,176,2142,37792,0.0,2.0,rebel,0.4074074074074074,0.5268817204301075,republicans
37498,1,1,177,2147,37889,0.0,1.0,rebel,0.4074074074074074,0.5212765957446809,republicans
37589,1,1,178,2157,37980,0.0,2.0,rebel,0.4074074074074074,0.5157894736842106,republicans
37747,1,1,179,2165,38139,0.0,2.0,rebel,0.4074074074074074,0.5104166666666666,republicans
37924,1,1,180,2175,38316,0.0,-1.0,conform,0.4074074074074074,0.5051546391752577,republicans
38206,1,1,181,2186,38599,1.0,-2.0,rebel,0.4024390243902439,0.5051546391752577,republicans
38286,1,1,182,2194,38679,0.0,-2.0,conform,0.40963855421686746,0.5051546391752577,republicans
38797,1,1,183,2243,39201,1.0,2.0,conform,0.40476190476190477,0.5051546391752577,republicans
38914,1,1,184,2249,39338,1.0,-2.0,rebel,0.40476190476190477,0.5102040816326531,republicans
39000,1,1,185,2255,39424,0.0,-2.0,conform,0.4117647058823529,0.5102040816326531,republicans
39231,1,1,186,2267,39657,0.0,-1.0,conform,0.4069767441860465,0.5102040816326531,republicans
39438,1,1,187,2278,39865,1.0,1.0,conform,0.40229885057471265,0.5102040816326531,republicans
39726,1,1,188,2290,40153,1.0,1.0,conform,0.40229885057471265,0.5151515151515151,republicans
39787,1,1,189,2295,40214,0.0,1.0,rebel,0.40229885057471265,0.52,republicans
40028,1,1,190,2309,40455,0.0,1.0,rebel,0.40229885057471265,0.5148514851485149,republicans
40419,1,1,191,2323,40846,1.0,1.0,conform,0.40229885057471265,0.5098039215686274,republicans
40448,1,1,192,2325,40875,1.0,2.0,conform,0.40229885057471265,0.5145631067961165,republicans
40656,1,1,193,2342,41083,1.0,1.0,conform,0.40229885057471265,0.5192307692307693,republicans
40880,1,1,194,2346,41307,1.0,1.0,conform,0.40229885057471265,0.5238095238095238,republicans
41129,1,1,195,2358,41556,0.0,-2.0,conform,0.40229885057471265,0.5283018867924528,republicans
41412,1,1,196,2377,41866,1.0,1.0,conform,0.3977272727272727,0.5283018867924528,republicans
41599,1,1,197,2389,42064,1.0,1.0,conform,0.3977272727272727,0.5327102803738317,republicans
41852,1,1,198,2403,42330,1.0,1.0,conform,0.3977272727272727,0.5370370370370371,republicans
41923,1,1,199,2404,42401,0.0,-2.0,conform,0.3977272727272727,0.5412844036697247,republicans
42168,1,1,200,2420,42646,0.0,2.0,rebel,0.39325842696629215,0.5412844036697247,republicans
42196,1,1,201,2425,42686,1.0,-2.0,rebel,0.39325842696629215,0.5363636363636364,republicans
42502,1,1,202,2438,42992,0.0,-1.0,conform,0.4,0.5363636363636364,republicans
42910,1,1,203,2470,43407,0.0,1.0,rebel,0.3956043956043956,0.5363636363636364,republicans
43087,1,1,204,2488,43584,0.0,2.0,rebel,0.3956043956043956,0.5315315315315315,republicans
43209,1,1,205,2497,43706,1.0,1.0,conform,0.3956043956043956,0.5267857142857143,republicans
43346,1,1,206,2505,43843,0.0,-1.0,conform,0.3956043956043956,0.5309734513274337,republicans
43569,1,1,207,2516,44066,1.0,2.0,conform,0.391304347826087,0.5309734513274337,republicans
43753,1,1,208,2525,44250,0.0,-2.0,conform,0.391304347826087,0.5350877192982456,republicans
44240,1,1,209,2550,44740,1.0,-1.0,rebel,0.3870967741935484,0.5350877192982456,republicans
44348,1,1,210,2555,44848,0.0,1.0,rebel,0.39361702127659576,0.5350877192982456,republicans
44692,1,1,211,2569,45192,1.0,-2.0,rebel,0.39361702127659576,0.5304347826086957,republicans
44817,1,1,212,2581,45317,0.0,1.0,rebel,0.4,0.5304347826086957,republicans
45068,1,1,213,2601,45569,0.0,1.0,rebel,0.4,0.5258620689655172,republicans
45354,1,1,214,2616,45856,0.0,1.0,rebel,0.4,0.5213675213675214,republicans
45665,1,1,215,2631,46167,1.0,2.0,conform,0.4,0.5169491525423728,republicans
45813,1,1,216,2635,46315,1.0,-2.0,rebel,0.4,0.5210084033613446,republicans
45906,1,1,217,2645,46408,0.0,-2.0,conform,0.40625,0.5210084033613446,republicans
46285,1,1,218,2663,46787,0.0,2.0,rebel,0.4020618556701031,0.5210084033613446,republicans
46434,1,1,219,2671,46936,0.0,-2.0,conform,0.4020618556701031,0.5166666666666667,republicans
46735,1,1,220,2696,47237,0.0,1.0,rebel,0.3979591836734694,0.5166666666666667,republicans
46742,1,1,221,2691,47244,0.0,-2.0,conform,0.3979591836734694,0.512396694214876,republicans
46933,1,1,222,2707,47435,0.0,-2.0,conform,0.3939393939393939,0.512396694214876,republicans
47134,1,1,223,2716,47636,0.0,1.0,rebel,0.39,0.512396694214876,republicans
23,1,2,1,1,23,1.0,1.0,equal,0.5,0.5,equal
278,1,2,2,14,278,1.0,1.0,conform,0.5,1.0,republicans
345,1,2,3,20,345,1.0,-1.0,rebel,0.5,1.0,republicans
663,1,2,4,36,663,0.0,2.0,equal,1.0,1.0,equal
807,1,2,5,41,807,0.0,1.0,conform,1.0,0.6666666666666666,democrats
1126,1,2,6,65,1126,0.0,-2.0,rebel,1.0,0.5,democrats
1236,1,2,7,69,1236,1.0,-2.0,equal,0.5,0.5,equal
1632,1,2,8,86,1632,0.0,2.0,conform,0.6666666666666666,0.5,democrats
1725,1,2,9,94,1725,0.0,-1.0,rebel,0.6666666666666666,0.4,democrats
1874,1,2,10,103,1874,0.0,2.0,conform,0.5,0.4,democrats
2162,1,2,11,120,2162,0.0,-1.0,rebel,0.5,0.3333333333333333,democrats
2409,1,2,12,136,2409,0.0,1.0,conform,0.4,0.3333333333333333,democrats
2487,1,2,13,139,2487,1.0,-2.0,conform,0.4,0.2857142857142857,democrats
2650,1,2,14,149,2655,0.0,-2.0,rebel,0.5,0.2857142857142857,democrats
2850,1,2,15,159,2865,0.0,1.0,conform,0.42857142857142855,0.2857142857142857,democrats
3230,1,2,16,174,3245,0.0,-2.0,rebel,0.42857142857142855,0.25,democrats
3307,1,2,17,183,3322,0.0,1.0,conform,0.375,0.25,democrats
3548,1,2,18,196,3563,0.0,-2.0,rebel,0.375,0.2222222222222222,democrats
3688,1,2,19,203,3703,0.0,1.0,conform,0.3333333333333333,0.2222222222222222,democrats
3839,1,2,20,211,3854,1.0,-1.0,conform,0.3333333333333333,0.2,democrats
4152,1,2,21,225,4169,0.0,1.0,conform,0.4,0.2,democrats
4285,1,2,22,236,4302,0.0,-2.0,rebel,0.4,0.18181818181818182,democrats
4667,1,2,23,253,4684,0.0,2.0,conform,0.36363636363636365,0.18181818181818182,democrats
4922,1,2,24,267,4939,0.0,-2.0,rebel,0.36363636363636365,0.16666666666666666,democrats
5065,1,2,25,274,5082,0.0,-1.0,rebel,0.3333333333333333,0.16666666666666666,democrats
5254,1,2,26,284,5271,0.0,-1.0,rebel,0.3076923076923077,0.16666666666666666,democrats
5291,1,2,27,289,5308,1.0,-1.0,conform,0.2857142857142857,0.16666666666666666,democrats
5700,1,2,28,306,5717,0.0,1.0,conform,0.3333333333333333,0.16666666666666666,democrats
6068,1,2,29,331,6085,1.0,1.0,rebel,0.3333333333333333,0.15384615384615385,democrats
6256,1,2,30,342,6273,1.0,2.0,rebel,0.3333333333333333,0.21428571428571427,democrats
6459,1,2,31,352,6476,0.0,2.0,conform,0.3333333333333333,0.26666666666666666,democrats
6564,1,2,32,360,6581,1.0,-2.0,conform,0.3333333333333333,0.25,democrats
6828,1,2,33,373,6846,0.0,-1.0,rebel,0.375,0.25,democrats
7212,1,2,34,395,7233,1.0,2.0,rebel,0.35294117647058826,0.25,democrats
7479,1,2,35,410,7500,0.0,2.0,conform,0.35294117647058826,0.29411764705882354,democrats
7491,1,2,36,402,7512,1.0,-1.0,conform,0.35294117647058826,0.2777777777777778,democrats
7664,1,2,37,420,7686,1.0,1.0,rebel,0.3888888888888889,0.2777777777777778,democrats
8171,1,2,38,444,8193,0.0,2.0,conform,0.3888888888888889,0.3157894736842105,democrats
8229,1,2,39,451,8251,1.0,-2.0,conform,0.3888888888888889,0.3,democrats
8415,1,2,40,461,8437,0.0,1.0,conform,0.42105263157894735,0.3,democrats
8720,1,2,41,482,8748,1.0,1.0,rebel,0.42105263157894735,0.2857142857142857,democrats
8835,1,2,42,478,8863,0.0,2.0,conform,0.42105263157894735,0.3181818181818182,democrats
9014,1,2,43,493,9042,0.0,1.0,conform,0.42105263157894735,0.30434782608695654,democrats
9462,1,2,44,519,9490,0.0,-1.0,rebel,0.42105263157894735,0.2916666666666667,democrats
9578,1,2,45,529,9606,0.0,-1.0,rebel,0.4,0.2916666666666667,democrats
9864,1,2,46,547,9892,0.0,-2.0,rebel,0.38095238095238093,0.2916666666666667,democrats
10093,1,2,47,557,10121,0.0,2.0,conform,0.36363636363636365,0.2916666666666667,democrats
10272,1,2,48,572,10300,0.0,-2.0,rebel,0.36363636363636365,0.28,democrats
10525,1,2,49,588,10553,1.0,-1.0,conform,0.34782608695652173,0.28,democrats
10600,1,2,50,591,10628,0.0,-2.0,rebel,0.375,0.28,democrats
10651,1,2,51,600,10679,0.0,-1.0,rebel,0.36,0.28,democrats
11039,1,2,52,613,11067,0.0,-2.0,rebel,0.34615384615384615,0.28,democrats
11300,1,2,53,631,11328,1.0,1.0,rebel,0.3333333333333333,0.28,democrats
11544,1,2,54,645,11572,0.0,2.0,conform,0.3333333333333333,0.3076923076923077,democrats
11742,1,2,55,657,11770,0.0,2.0,conform,0.3333333333333333,0.2962962962962963,democrats
11973,1,2,56,665,12001,1.0,1.0,rebel,0.3333333333333333,0.2857142857142857,democrats
12044,1,2,57,672,12072,0.0,1.0,conform,0.3333333333333333,0.3103448275862069,democrats
12256,1,2,58,679,12284,1.0,2.0,rebel,0.3333333333333333,0.3,democrats
12700,1,2,59,700,12728,0.0,1.0,conform,0.3333333333333333,0.3225806451612903,democrats
13088,1,2,60,726,13116,0.0,1.0,conform,0.3333333333333333,0.3125,democrats
13314,1,2,61,736,13342,1.0,2.0,rebel,0.3333333333333333,0.30303030303030304,democrats
13502,1,2,62,741,13530,0.0,2.0,conform,0.3333333333333333,0.3235294117647059,democrats
13903,1,2,63,769,13931,0.0,-1.0,rebel,0.3333333333333333,0.3142857142857143,democrats
14247,1,2,64,786,14275,0.0,2.0,conform,0.32142857142857145,0.3142857142857143,democrats
14306,1,2,65,790,14334,0.0,2.0,conform,0.32142857142857145,0.3055555555555556,democrats
14536,1,2,66,801,14564,0.0,-2.0,rebel,0.32142857142857145,0.2972972972972973,democrats
14664,1,2,67,810,14692,1.0,1.0,rebel,0.3103448275862069,0.2972972972972973,democrats
15002,1,2,68,829,15030,1.0,2.0,conform,0.3103448275862069,0.3157894736842105,republicans
15069,1,2,69,828,15097,0.0,1.0,rebel,0.3103448275862069,0.3333333333333333,republicans
15381,1,2,70,847,15415,1.0,2.0,conform,0.3103448275862069,0.325,republicans
15559,1,2,71,856,15593,0.0,1.0,rebel,0.3103448275862069,0.34146341463414637,republicans
15707,1,2,72,865,15741,0.0,-1.0,conform,0.3103448275862069,0.3333333333333333,republicans
15872,1,2,73,871,15906,0.0,-1.0,conform,0.3,0.3333333333333333,republicans
16100,1,2,74,882,16134,1.0,-1.0,rebel,0.2903225806451613,0.3333333333333333,republicans
16315,1,2,75,894,16349,0.0,-2.0,conform,0.3125,0.3333333333333333,republicans
16502,1,2,76,904,16536,0.0,-1.0,conform,0.30303030303030304,0.3333333333333333,republicans
16594,1,2,77,909,16628,1.0,1.0,conform,0.29411764705882354,0.3333333333333333,republicans
16803,1,2,78,920,16837,0.0,1.0,rebel,0.29411764705882354,0.3488372093023256,republicans
16970,1,2,79,927,17061,1.0,-2.0,rebel,0.29411764705882354,0.3409090909090909,republicans
17204,1,2,80,938,17295,1.0,1.0,conform,0.3142857142857143,0.3409090909090909,republicans
17317,1,2,81,946,17408,1.0,-2.0,rebel,0.3142857142857143,0.35555555555555557,republicans
